# packages in environment at /soft/applications/conda/2026-09-17/mconda3:
#
# Name                                      Version                           Build                  Channel
loky                                        3.6.0                             pypi_0                 pypi
lz4                                         4.4.5                             pypi_0                 pypi
lz4-c                                       1.10.0                            hee9eb32_2             conda-forge
lzo                                         2.10                              hebe6cf0_1003          conda-forge
mamba                                       2.9.0                             h9649d4f_0             conda-forge
mamba-ssm                                   2.3.2.post1                       pypi_0                 pypi
markdown                                    3.10.3                            pypi_0                 pypi
markdown-it-py                              4.2.0                             pypi_0                 pypi
markupsafe                                  3.0.3                             py313h3dea7bd_1        conda-forge
marshmallow                                 3.26.2                            pypi_0                 pypi
marshmallow-oneofschema                     3.2.0                             pypi_0                 pypi
matplotlib                                  3.11.2                            pypi_0                 pypi
matplotlib-inline                           0.2.2                             pypi_0                 pypi
matplotx                                    0.3.10                            pypi_0                 pypi
mbedtls                                     4.0.0                             hecca717_0             conda-forge
mcp                                         2.2.0                             pypi_0                 pypi
mcp-types                                   2.2.0                             pypi_0                 pypi
mdurl                                       0.1.2                             pypi_0                 pypi
megatron-core                               0.2.0                             pypi_0                 pypi
menuinst                                    2.5.2                             py313hd5f5364_2        conda-forge
mistral-common                              1.11.7                            pypi_0                 pypi
mistune                                     3.3.4                             pypi_0                 pypi
mkl                                         2026.1.0                          hd2095e1_245           conda-forge
mkl-include                                 2026.1.0                          ha770c72_245           conda-forge
ml-collections                              1.1.0                             pypi_0                 pypi
ml-dtypes                                   0.6.0                             pypi_0                 pypi
mock                                        5.2.0                             pypi_0                 pypi
model-hosting-container-standards           0.1.16                            pypi_0                 pypi
moocore                                     0.3.2                             pypi_0                 pypi
more-itertools                              11.1.0                            pypi_0                 pypi
mpi4jax                                     0.9.1.post1                       pypi_0                 pypi
mpi4py                                      4.1.2                             pypi_0                 pypi
mpmath                                      1.3.0                             pypi_0                 pypi
msgpack-python                              1.2.2                             py313h2551ef2_2        conda-forge
msgspec                                     0.21.1                            pypi_0                 pypi
multidict                                   6.8.0                             pypi_0                 pypi
multipledispatch                            1.0.0                             pypi_0                 pypi
multiprocess                                0.70.19                           pypi_0                 pypi
munch                                       4.0.0                             pypi_0                 pypi
namex                                       0.1.0                             pypi_0                 pypi
nanobind                                    3.0.1                             pypi_0                 pypi
narwhals                                    2.26.0                            pypi_0                 pypi
nbclient                                    0.11.0                            pypi_0                 pypi
nbconvert                                   7.17.1                            pypi_0                 pypi
nbformat                                    5.11.1                            pypi_0                 pypi
nccl4py                                     0.5.0                             pypi_0                 pypi
ncurses                                     6.6                               hdb14827_1             conda-forge
nest-asyncio2                               1.7.2                             pypi_0                 pypi
networkx                                    3.6.1                             pypi_0                 pypi
ninja                                       1.13.2                            pypi_0                 pypi
nlohmann_json-abi                           3.12.0                            h0f90c79_2             conda-forge
nodeenv                                     1.10.0                            pypi_0                 pypi
notebook                                    7.6.2                             pypi_0                 pypi
notebook-shim                               0.2.4                             pypi_0                 pypi
numba                                       0.67.0                            py313h901f96d_1        conda-forge
numpy                                       2.5.3                             py313hb5f73ae_0        conda-forge
numpyro                                     0.22.0                            pypi_0                 pypi
nvdlfw-inspect                              0.2.2                             pypi_0                 pypi
nvidia-cuda-cccl                            13.3.4.3.1                        pypi_0                 pypi
nvidia-cuda-crt                             13.4.92                           pypi_0                 pypi
nvidia-cuda-nvcc                            13.4.92                           pypi_0                 pypi
nvidia-cuda-nvdisasm                        13.4.92                           pypi_0                 pypi
nvidia-cuda-nvrtc                           13.4.92                           pypi_0                 pypi
nvidia-cuda-runtime                         13.4.92                           pypi_0                 pypi
nvidia-cudnn-frontend                       1.29.0                            pypi_0                 pypi
nvidia-cutlass-dsl                          4.6.2                             pypi_0                 pypi
nvidia-cutlass-dsl-libs-base                4.6.2                             pypi_0                 pypi
nvidia-cutlass-dsl-libs-core                4.6.2                             pypi_0                 pypi
nvidia-cutlass-dsl-libs-cu12                4.6.2                             pypi_0                 pypi
nvidia-cutlass-dsl-libs-cu13                4.6.2                             pypi_0                 pypi
nvidia-ml-py                                13.610.43                         pypi_0                 pypi
nvidia-nvshmem-cu13                         3.8.0                             pypi_0                 pypi
nvidia-nvvm                                 13.4.92                           pypi_0                 pypi
nvshmem4py-cu13                             0.3.1                             pypi_0                 pypi
nvtx                                        0.2.15                            pypi_0                 pypi
oauthlib                                    3.3.1                             pypi_0                 pypi
omegaconf                                   2.3.1                             pypi_0                 pypi
